person_1,person_2,mutual_type
example100108@scrippscollege.edu,example101432@hmc.edu,friend
example100915@students.pitzer.edu,example101970@scrippscollege.edu,friend
example101138@hmc.edu,example101522@hmc.edu,like
example100946@hmc.edu,example100954@students.claremontmckenna.edu,friend
example100943@students.claremontmckenna.edu,example101339@hmc.edu,like
example101244@mymail.pomona.edu,example101767@students.pitzer.edu,friend
example100109@students.claremontmckenna.edu,example101653@students.claremontmckenna.edu,like
example100292@hmc.edu,example101007@students.pitzer.edu,friend
example100167@students.claremontmckenna.edu,example101825@students.pitzer.edu,friend
example100102@mymail.pomona.edu,example100572@scrippscollege.edu,like
example101367@students.claremontmckenna.edu,example101584@scrippscollege.edu,friend
example100535@mymail.pomona.edu,example101274@scrippscollege.edu,friend
example100321@students.pitzer.edu,example101069@students.claremontmckenna.edu,like
example100417@hmc.edu,example101362@students.claremontmckenna.edu,friend
example101348@scrippscollege.edu,example101689@students.claremontmckenna.edu,like
example100722@hmc.edu,example101538@mymail.pomona.edu,friend
example101294@mymail.pomona.edu,example101953@scrippscollege.edu,like
example100030@hmc.edu,example100727@students.pitzer.edu,friend
example100089@students.pitzer.edu,example101449@students.pitzer.edu,friend
example101630@students.claremontmckenna.edu,example101955@hmc.edu,like
example100299@students.claremontmckenna.edu,example100344@scrippscollege.edu,friend
example101253@students.claremontmckenna.edu,example101650@scrippscollege.edu,friend
example100819@students.claremontmckenna.edu,example101661@mymail.pomona.edu,like
example100877@students.pitzer.edu,example101066@scrippscollege.edu,friend
example100478@scrippscollege.edu,example101773@students.claremontmckenna.edu,friend
example100218@scrippscollege.edu,example100365@scrippscollege.edu,like
example101099@mymail.pomona.edu,example101432@hmc.edu,friend
example101267@students.claremontmckenna.edu,example101411@hmc.edu,like
example100019@scrippscollege.edu,example101272@students.pitzer.edu,like
example100106@scrippscollege.edu,example100734@students.pitzer.edu,like
example100416@students.pitzer.edu,example101720@hmc.edu,like
example100382@mymail.pomona.edu,example101388@students.pitzer.edu,friend
example101233@students.claremontmckenna.edu,example101779@scrippscollege.edu,like
example100361@hmc.edu,example101705@scrippscollege.edu,friend
example100079@students.pitzer.edu,example100644@scrippscollege.edu,friend
example100745@scrippscollege.edu,example100757@students.claremontmckenna.edu,like
example100650@students.pitzer.edu,example101700@scrippscollege.edu,friend
example100349@students.pitzer.edu,example101694@hmc.edu,friend
example100252@scrippscollege.edu,example101232@students.pitzer.edu,like
example100556@scrippscollege.edu,example101179@students.claremontmckenna.edu,like
example100075@scrippscollege.edu,example100657@students.claremontmckenna.edu,friend
example100318@hmc.edu,example101072@hmc.edu,friend
example100150@scrippscollege.edu,example101097@students.pitzer.edu,like
example101406@students.pitzer.edu,example101881@students.pitzer.edu,friend
example100317@mymail.pomona.edu,example101936@students.claremontmckenna.edu,like
example100383@students.claremontmckenna.edu,example101831@students.pitzer.edu,friend
example101245@students.pitzer.edu,example101730@mymail.pomona.edu,like
example100425@hmc.edu,example100936@students.pitzer.edu,friend
example101682@students.pitzer.edu,example101931@hmc.edu,like
example100278@scrippscollege.edu,example101206@mymail.pomona.edu,friend
example100735@scrippscollege.edu,example101306@hmc.edu,like
example100151@scrippscollege.edu,example101761@students.claremontmckenna.edu,like
example100130@hmc.edu,example101598@students.claremontmckenna.edu,like
example100204@hmc.edu,example101246@scrippscollege.edu,friend
example100416@students.pitzer.edu,example101412@students.pitzer.edu,friend
example101451@hmc.edu,example101581@mymail.pomona.edu,like
example100756@scrippscollege.edu,example100831@students.pitzer.edu,friend
example100576@students.claremontmckenna.edu,example100902@hmc.edu,friend
example100741@hmc.edu,example100917@mymail.pomona.edu,like
example100005@students.pitzer.edu,example101451@hmc.edu,like
example100409@hmc.edu,example100931@students.pitzer.edu,friend
example100527@scrippscollege.edu,example100885@students.claremontmckenna.edu,friend
example100743@students.pitzer.edu,example101417@students.claremontmckenna.edu,friend
example100907@hmc.edu,example101032@scrippscollege.edu,like
example101455@students.claremontmckenna.edu,example101995@mymail.pomona.edu,like
example101018@students.pitzer.edu,example101429@students.claremontmckenna.edu,like
example100637@scrippscollege.edu,example100698@hmc.edu,like
example100950@scrippscollege.edu,example100955@students.claremontmckenna.edu,friend
example100121@students.pitzer.edu,example101025@mymail.pomona.edu,friend
example100436@students.claremontmckenna.edu,example101228@students.claremontmckenna.edu,like
example100381@scrippscollege.edu,example101944@scrippscollege.edu,friend
example101496@students.claremontmckenna.edu,example101914@hmc.edu,friend
example100948@hmc.edu,example101150@students.pitzer.edu,friend
example100456@mymail.pomona.edu,example101397@students.pitzer.edu,friend
example100192@scrippscollege.edu,example100498@hmc.edu,friend
example101740@students.pitzer.edu,example101835@scrippscollege.edu,friend
example100763@students.pitzer.edu,example101983@scrippscollege.edu,like
example100177@scrippscollege.edu,example100502@students.claremontmckenna.edu,like
example100561@students.pitzer.edu,example100627@students.claremontmckenna.edu,like
example100061@mymail.pomona.edu,example100565@students.pitzer.edu,like
example101149@hmc.edu,example101163@students.claremontmckenna.edu,like
example100291@scrippscollege.edu,example101454@hmc.edu,like
example100705@students.pitzer.edu,example101363@mymail.pomona.edu,like
example100709@students.claremontmckenna.edu,example100838@hmc.edu,like
example100055@scrippscollege.edu,example100714@mymail.pomona.edu,friend
example100913@students.pitzer.edu,example100994@students.pitzer.edu,friend
example100079@students.pitzer.edu,example100613@scrippscollege.edu,like
example101141@students.pitzer.edu,example101903@students.pitzer.edu,friend
example101456@students.pitzer.edu,example101818@students.pitzer.edu,friend
example100910@scrippscollege.edu,example101696@students.claremontmckenna.edu,like
example100799@scrippscollege.edu,example101814@hmc.edu,friend
example101776@mymail.pomona.edu,example101907@students.pitzer.edu,friend
example101405@students.claremontmckenna.edu,example101896@hmc.edu,friend
example100951@scrippscollege.edu,example101176@hmc.edu,like
example100440@students.pitzer.edu,example101191@students.claremontmckenna.edu,friend
example100374@students.pitzer.edu,example101857@students.pitzer.edu,friend
example100312@students.claremontmckenna.edu,example101873@students.pitzer.edu,like
example100688@students.pitzer.edu,example101816@scrippscollege.edu,like
example100246@hmc.edu,example100352@students.claremontmckenna.edu,like
example100561@students.pitzer.edu,example101052@students.pitzer.edu,friend
example100123@students.claremontmckenna.edu,example101308@students.pitzer.edu,like
example100060@students.claremontmckenna.edu,example100516@students.claremontmckenna.edu,friend
example100255@scrippscollege.edu,example101005@scrippscollege.edu,like
example100705@students.pitzer.edu,example101503@hmc.edu,friend
example101718@hmc.edu,example101868@hmc.edu,friend
example101443@scrippscollege.edu,example101472@scrippscollege.edu,like
example100286@students.pitzer.edu,example101333@hmc.edu,friend
example100001@students.claremontmckenna.edu,example101030@hmc.edu,friend
example101192@students.claremontmckenna.edu,example101274@scrippscollege.edu,friend
example100000@scrippscollege.edu,example100168@mymail.pomona.edu,like
example100881@scrippscollege.edu,example101094@scrippscollege.edu,friend
example100284@scrippscollege.edu,example101871@students.pitzer.edu,like
example100683@mymail.pomona.edu,example100742@hmc.edu,like
example100494@students.claremontmckenna.edu,example101542@hmc.edu,like
example101224@hmc.edu,example101368@mymail.pomona.edu,friend
example101001@students.pitzer.edu,example101537@scrippscollege.edu,like
example100068@students.pitzer.edu,example100402@students.pitzer.edu,like
example100989@students.pitzer.edu,example101639@students.claremontmckenna.edu,friend
example100077@hmc.edu,example100180@students.claremontmckenna.edu,like
example100945@hmc.edu,example101463@students.claremontmckenna.edu,friend
example100337@mymail.pomona.edu,example100853@mymail.pomona.edu,friend
example100256@hmc.edu,example100977@hmc.edu,friend
example100761@mymail.pomona.edu,example101264@scrippscollege.edu,like
example101383@students.claremontmckenna.edu,example101437@mymail.pomona.edu,friend
example100227@scrippscollege.edu,example100593@students.claremontmckenna.edu,friend
example101141@students.pitzer.edu,example101634@scrippscollege.edu,friend
example100361@hmc.edu,example100979@students.claremontmckenna.edu,like
example100257@mymail.pomona.edu,example100304@students.claremontmckenna.edu,friend
example100563@scrippscollege.edu,example101410@scrippscollege.edu,friend
example100454@students.claremontmckenna.edu,example101600@hmc.edu,like
example100472@scrippscollege.edu,example101432@hmc.edu,friend
example100354@students.pitzer.edu,example101180@students.pitzer.edu,friend
example100714@mymail.pomona.edu,example101353@mymail.pomona.edu,friend
example100664@students.pitzer.edu,example101168@students.claremontmckenna.edu,friend
example101179@students.claremontmckenna.edu,example101340@hmc.edu,like
example101408@mymail.pomona.edu,example101597@mymail.pomona.edu,like
example100310@hmc.edu,example101903@students.pitzer.edu,like
example101569@scrippscollege.edu,example101686@students.pitzer.edu,like
example101099@mymail.pomona.edu,example101948@mymail.pomona.edu,like
example100439@mymail.pomona.edu,example101025@mymail.pomona.edu,friend
example100125@students.claremontmckenna.edu,example101991@hmc.edu,friend
example101758@scrippscollege.edu,example101921@mymail.pomona.edu,like
example100527@scrippscollege.edu,example101391@scrippscollege.edu,like
example101150@students.pitzer.edu,example101784@scrippscollege.edu,friend
example100150@scrippscollege.edu,example101070@students.claremontmckenna.edu,friend
example100684@hmc.edu,example101679@mymail.pomona.edu,friend
example101271@students.claremontmckenna.edu,example101884@hmc.edu,like
example100059@students.claremontmckenna.edu,example101163@students.claremontmckenna.edu,friend
example100291@scrippscollege.edu,example101989@scrippscollege.edu,friend
example100440@students.pitzer.edu,example101547@mymail.pomona.edu,friend
example100422@mymail.pomona.edu,example101002@mymail.pomona.edu,friend
example100352@students.claremontmckenna.edu,example101602@scrippscollege.edu,like
example100519@mymail.pomona.edu,example100905@hmc.edu,like
example100184@mymail.pomona.edu,example101110@hmc.edu,friend
example100012@hmc.edu,example101576@students.pitzer.edu,like
example101091@scrippscollege.edu,example101099@mymail.pomona.edu,like
example100821@mymail.pomona.edu,example100824@hmc.edu,like
example101461@hmc.edu,example101475@students.pitzer.edu,like
example100626@scrippscollege.edu,example101678@hmc.edu,friend
example101054@mymail.pomona.edu,example101542@hmc.edu,like
example101338@students.pitzer.edu,example101490@hmc.edu,friend
example100740@students.pitzer.edu,example100895@mymail.pomona.edu,like
example101064@mymail.pomona.edu,example101242@scrippscollege.edu,friend
example100436@students.claremontmckenna.edu,example101281@students.claremontmckenna.edu,like
example100865@students.pitzer.edu,example101592@hmc.edu,friend
example100321@students.pitzer.edu,example101557@students.pitzer.edu,like
example101873@students.pitzer.edu,example101929@students.pitzer.edu,friend
example101896@hmc.edu,example101911@students.claremontmckenna.edu,like
example100860@students.pitzer.edu,example101479@mymail.pomona.edu,like
example100227@scrippscollege.edu,example100846@scrippscollege.edu,friend
example100339@hmc.edu,example101034@hmc.edu,like
example100411@students.claremontmckenna.edu,example101847@students.claremontmckenna.edu,like
example100114@mymail.pomona.edu,example101142@students.pitzer.edu,like
example100703@mymail.pomona.edu,example100806@hmc.edu,friend
example100053@scrippscollege.edu,example100943@students.claremontmckenna.edu,like
example100463@mymail.pomona.edu,example101723@mymail.pomona.edu,like
example101128@students.claremontmckenna.edu,example101652@students.pitzer.edu,friend
example100351@scrippscollege.edu,example101264@scrippscollege.edu,friend
example101607@hmc.edu,example101654@students.pitzer.edu,like
example100649@students.pitzer.edu,example100940@scrippscollege.edu,like
example100841@students.claremontmckenna.edu,example101552@students.claremontmckenna.edu,like
example101535@scrippscollege.edu,example101867@students.claremontmckenna.edu,friend
example100218@scrippscollege.edu,example101646@hmc.edu,friend
example100276@mymail.pomona.edu,example100317@mymail.pomona.edu,like
example100820@mymail.pomona.edu,example101295@scrippscollege.edu,friend
example100775@students.pitzer.edu,example101127@students.claremontmckenna.edu,like
example100706@mymail.pomona.edu,example101449@students.pitzer.edu,like
example101255@students.claremontmckenna.edu,example101563@hmc.edu,like
example100258@students.pitzer.edu,example101831@students.pitzer.edu,like
example101010@hmc.edu,example101233@students.claremontmckenna.edu,like
example100221@students.claremontmckenna.edu,example101697@students.claremontmckenna.edu,friend
example100080@hmc.edu,example101939@students.pitzer.edu,friend
example100946@hmc.edu,example101764@students.claremontmckenna.edu,like
example100544@students.pitzer.edu,example100997@scrippscollege.edu,friend
example100945@hmc.edu,example100976@mymail.pomona.edu,like
example100571@students.claremontmckenna.edu,example101327@mymail.pomona.edu,friend
example101379@mymail.pomona.edu,example101695@hmc.edu,like
example100713@mymail.pomona.edu,example101912@mymail.pomona.edu,friend
example101253@students.claremontmckenna.edu,example101565@hmc.edu,like
example100810@mymail.pomona.edu,example101834@mymail.pomona.edu,like
example100801@hmc.edu,example101101@mymail.pomona.edu,like
example100662@students.claremontmckenna.edu,example100859@mymail.pomona.edu,friend
example100292@hmc.edu,example100712@scrippscollege.edu,friend
example100315@mymail.pomona.edu,example101991@hmc.edu,like
example100266@scrippscollege.edu,example100448@students.claremontmckenna.edu,friend
example101852@students.claremontmckenna.edu,example101866@hmc.edu,friend
example100898@students.pitzer.edu,example101025@mymail.pomona.edu,friend
example100634@scrippscollege.edu,example101482@students.pitzer.edu,friend
example100120@scrippscollege.edu,example100292@hmc.edu,like
example100222@mymail.pomona.edu,example100987@students.pitzer.edu,friend
example100608@hmc.edu,example101648@hmc.edu,like
example101524@hmc.edu,example101919@students.claremontmckenna.edu,like
example101156@mymail.pomona.edu,example101474@students.pitzer.edu,like
example101070@students.claremontmckenna.edu,example101696@students.claremontmckenna.edu,like
example101506@students.pitzer.edu,example101763@scrippscollege.edu,like
example101322@scrippscollege.edu,example101834@mymail.pomona.edu,like
example100122@scrippscollege.edu,example101730@mymail.pomona.edu,friend
example100260@students.pitzer.edu,example101198@students.claremontmckenna.edu,friend
example100101@students.claremontmckenna.edu,example101822@students.claremontmckenna.edu,friend
example100398@scrippscollege.edu,example101940@scrippscollege.edu,like
example101123@mymail.pomona.edu,example101465@students.claremontmckenna.edu,friend
example100001@students.claremontmckenna.edu,example100250@students.pitzer.edu,like
example100521@students.pitzer.edu,example101518@hmc.edu,friend
example101140@scrippscollege.edu,example101649@mymail.pomona.edu,like
example101029@students.claremontmckenna.edu,example101973@students.pitzer.edu,like
example101198@students.claremontmckenna.edu,example101672@scrippscollege.edu,friend
example100632@mymail.pomona.edu,example101599@students.pitzer.edu,like
example100494@students.claremontmckenna.edu,example100779@students.claremontmckenna.edu,friend
example100004@students.pitzer.edu,example101794@scrippscollege.edu,like
example100788@hmc.edu,example100973@students.pitzer.edu,like
example100749@mymail.pomona.edu,example100762@hmc.edu,like
example100699@students.pitzer.edu,example101591@hmc.edu,like
example100308@students.claremontmckenna.edu,example101495@mymail.pomona.edu,friend
example101279@scrippscollege.edu,example101769@students.claremontmckenna.edu,friend
example100278@scrippscollege.edu,example100595@scrippscollege.edu,like
example101210@mymail.pomona.edu,example101311@scrippscollege.edu,friend
example100659@scrippscollege.edu,example100931@students.pitzer.edu,like
example100117@mymail.pomona.edu,example101756@students.pitzer.edu,like
example101185@mymail.pomona.edu,example101613@hmc.edu,like
example101113@students.pitzer.edu,example101458@students.claremontmckenna.edu,friend
example101161@students.claremontmckenna.edu,example101324@mymail.pomona.edu,friend
example100272@hmc.edu,example100819@students.claremontmckenna.edu,friend
example100286@students.pitzer.edu,example101039@students.pitzer.edu,friend
example100058@mymail.pomona.edu,example101979@scrippscollege.edu,friend
example101067@students.claremontmckenna.edu,example101362@students.claremontmckenna.edu,friend
example100584@mymail.pomona.edu,example101903@students.pitzer.edu,friend
example100272@hmc.edu,example100317@mymail.pomona.edu,like
example101058@students.pitzer.edu,example101958@hmc.edu,like
example100747@hmc.edu,example101282@students.pitzer.edu,like
example100466@hmc.edu,example100813@hmc.edu,friend
example100156@mymail.pomona.edu,example101742@hmc.edu,like
example100181@students.claremontmckenna.edu,example101174@students.claremontmckenna.edu,like
example100303@students.claremontmckenna.edu,example100692@hmc.edu,friend
example101249@mymail.pomona.edu,example101725@hmc.edu,like
example100643@scrippscollege.edu,example101423@hmc.edu,friend
example101398@scrippscollege.edu,example101678@hmc.edu,friend
example100511@students.claremontmckenna.edu,example100717@students.pitzer.edu,like
example100566@mymail.pomona.edu,example101277@students.pitzer.edu,like
example100447@mymail.pomona.edu,example100530@students.pitzer.edu,friend
example100602@hmc.edu,example101308@students.pitzer.edu,friend
example100333@students.pitzer.edu,example101745@scrippscollege.edu,friend
example100009@students.pitzer.edu,example100513@scrippscollege.edu,friend
example100674@hmc.edu,example100890@hmc.edu,friend
example100160@students.claremontmckenna.edu,example100335@hmc.edu,like
example100467@mymail.pomona.edu,example101156@mymail.pomona.edu,like
example100183@students.pitzer.edu,example101648@hmc.edu,like
example100295@students.claremontmckenna.edu,example100987@students.pitzer.edu,like
example100422@mymail.pomona.edu,example101981@students.pitzer.edu,friend
example100951@scrippscollege.edu,example101981@students.pitzer.edu,like
example100027@hmc.edu,example101831@students.pitzer.edu,friend
example100352@students.claremontmckenna.edu,example100841@students.claremontmckenna.edu,like
example101734@students.claremontmckenna.edu,example101797@scrippscollege.edu,like
example101286@hmc.edu,example101946@students.claremontmckenna.edu,like
example100057@hmc.edu,example101900@mymail.pomona.edu,like
example100908@students.claremontmckenna.edu,example101414@scrippscollege.edu,friend
example100198@hmc.edu,example100213@students.claremontmckenna.edu,friend
example101132@scrippscollege.edu,example101757@students.pitzer.edu,friend
example100886@students.claremontmckenna.edu,example101784@scrippscollege.edu,like
example100534@students.pitzer.edu,example101216@scrippscollege.edu,like
example100349@students.pitzer.edu,example101665@scrippscollege.edu,friend
example100460@scrippscollege.edu,example101757@students.pitzer.edu,like
example100425@hmc.edu,example100936@students.pitzer.edu,like
example100136@students.pitzer.edu,example101147@hmc.edu,like
example100308@students.claremontmckenna.edu,example101179@students.claremontmckenna.edu,friend
example100357@hmc.edu,example101419@students.pitzer.edu,friend
example100028@mymail.pomona.edu,example101120@hmc.edu,like
example100337@mymail.pomona.edu,example101371@mymail.pomona.edu,friend
example100430@students.claremontmckenna.edu,example100867@hmc.edu,friend
example100068@students.pitzer.edu,example101915@scrippscollege.edu,friend
example100290@students.pitzer.edu,example100683@mymail.pomona.edu,like
example100218@scrippscollege.edu,example100377@students.claremontmckenna.edu,friend
example100164@scrippscollege.edu,example100181@students.claremontmckenna.edu,like
example100178@scrippscollege.edu,example100983@students.claremontmckenna.edu,like
example101100@students.pitzer.edu,example101172@scrippscollege.edu,friend
example101650@scrippscollege.edu,example101793@students.claremontmckenna.edu,like
example100487@students.pitzer.edu,example101432@hmc.edu,like
example100176@scrippscollege.edu,example101819@students.pitzer.edu,friend
example101603@students.claremontmckenna.edu,example101990@students.claremontmckenna.edu,like
example100023@students.claremontmckenna.edu,example101192@students.claremontmckenna.edu,like
example100619@students.claremontmckenna.edu,example101571@students.pitzer.edu,friend
example101018@students.pitzer.edu,example101159@scrippscollege.edu,friend
example100738@mymail.pomona.edu,example101300@mymail.pomona.edu,like
example100769@mymail.pomona.edu,example101698@students.pitzer.edu,friend
example100573@students.claremontmckenna.edu,example100583@students.claremontmckenna.edu,friend
example100234@hmc.edu,example101766@students.pitzer.edu,friend
example101533@mymail.pomona.edu,example101911@students.claremontmckenna.edu,friend
example100267@mymail.pomona.edu,example100734@students.pitzer.edu,like
example100608@hmc.edu,example101308@students.pitzer.edu,like
example101910@mymail.pomona.edu,example101921@mymail.pomona.edu,like
example100839@students.claremontmckenna.edu,example101641@scrippscollege.edu,like
example100438@scrippscollege.edu,example101905@hmc.edu,like
example100418@students.claremontmckenna.edu,example101023@scrippscollege.edu,like
example101229@students.pitzer.edu,example101966@students.claremontmckenna.edu,friend
example100126@scrippscollege.edu,example100697@students.pitzer.edu,friend
example100074@students.pitzer.edu,example101032@scrippscollege.edu,like
example100090@scrippscollege.edu,example101964@mymail.pomona.edu,like
example100942@students.claremontmckenna.edu,example100998@students.claremontmckenna.edu,friend
example101323@mymail.pomona.edu,example101730@mymail.pomona.edu,friend
example100636@hmc.edu,example101709@hmc.edu,like
example100090@scrippscollege.edu,example100209@students.claremontmckenna.edu,like
example101215@hmc.edu,example101229@students.pitzer.edu,friend
example100001@students.claremontmckenna.edu,example101165@hmc.edu,like
example100055@scrippscollege.edu,example101945@scrippscollege.edu,like
example100515@hmc.edu,example100680@hmc.edu,friend
example101288@hmc.edu,example101400@mymail.pomona.edu,friend
example100931@students.pitzer.edu,example101351@students.claremontmckenna.edu,friend
example100247@students.pitzer.edu,example101281@students.claremontmckenna.edu,like
example100430@students.claremontmckenna.edu,example101811@students.pitzer.edu,like
example100929@hmc.edu,example101940@scrippscollege.edu,like
example100309@students.pitzer.edu,example101906@scrippscollege.edu,like
example100034@scrippscollege.edu,example100656@scrippscollege.edu,friend
example100107@scrippscollege.edu,example100465@students.pitzer.edu,like
example101495@mymail.pomona.edu,example101868@hmc.edu,friend
example100619@students.claremontmckenna.edu,example100973@students.pitzer.edu,friend
example100637@scrippscollege.edu,example101942@scrippscollege.edu,friend
example100617@hmc.edu,example101530@hmc.edu,friend
example100482@hmc.edu,example100982@mymail.pomona.edu,friend
example100523@hmc.edu,example101649@mymail.pomona.edu,like
example100294@students.claremontmckenna.edu,example101790@scrippscollege.edu,friend
example100925@mymail.pomona.edu,example101806@hmc.edu,like
example101437@mymail.pomona.edu,example101850@scrippscollege.edu,friend
example100982@mymail.pomona.edu,example101289@students.pitzer.edu,like
example100689@scrippscollege.edu,example101487@scrippscollege.edu,friend
example100807@scrippscollege.edu,example101403@hmc.edu,friend
example100902@hmc.edu,example101683@hmc.edu,friend
example100149@hmc.edu,example101927@students.pitzer.edu,like
example100561@students.pitzer.edu,example101463@students.claremontmckenna.edu,friend
example100268@scrippscollege.edu,example100448@students.claremontmckenna.edu,friend
example100653@students.pitzer.edu,example101290@students.claremontmckenna.edu,friend
example101302@students.claremontmckenna.edu,example101967@mymail.pomona.edu,like
example100740@students.pitzer.edu,example100942@students.claremontmckenna.edu,like
example100245@mymail.pomona.edu,example101104@scrippscollege.edu,friend
example100523@hmc.edu,example101883@hmc.edu,like
example100037@scrippscollege.edu,example101025@mymail.pomona.edu,like
example100860@students.pitzer.edu,example101415@students.claremontmckenna.edu,like
example100042@students.claremontmckenna.edu,example101547@mymail.pomona.edu,friend
example100506@scrippscollege.edu,example101421@students.claremontmckenna.edu,friend
example100315@mymail.pomona.edu,example101264@scrippscollege.edu,friend
example100145@scrippscollege.edu,example100495@mymail.pomona.edu,friend
example100747@hmc.edu,example101590@mymail.pomona.edu,friend
example100292@hmc.edu,example101594@students.claremontmckenna.edu,friend
example100016@mymail.pomona.edu,example100729@scrippscollege.edu,friend
example101343@students.pitzer.edu,example101946@students.claremontmckenna.edu,friend
example100297@hmc.edu,example101790@scrippscollege.edu,like
example100331@students.pitzer.edu,example100868@scrippscollege.edu,like
example100650@students.pitzer.edu,example101995@mymail.pomona.edu,friend
example100409@hmc.edu,example100846@scrippscollege.edu,friend
example100274@students.claremontmckenna.edu,example101688@mymail.pomona.edu,friend
example100057@hmc.edu,example100761@mymail.pomona.edu,friend
example100912@hmc.edu,example101061@hmc.edu,friend
example100593@students.claremontmckenna.edu,example101480@mymail.pomona.edu,like
example101442@mymail.pomona.edu,example101877@mymail.pomona.edu,like
example101174@students.claremontmckenna.edu,example101964@mymail.pomona.edu,like
example101247@mymail.pomona.edu,example101809@students.claremontmckenna.edu,friend
example100279@students.pitzer.edu,example100598@students.claremontmckenna.edu,friend
example101327@mymail.pomona.edu,example101566@students.pitzer.edu,like
